"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Afghanistan","2004","Male","7.9",""
"Afghanistan","2004","Female","9.3",""
"Afghanistan","2004","Both sexes","8.6",""
"Afghanistan","1997","Both sexes","18.2",""
"Albania","2009","Male","11.5",""
"Albania","2009","Female","7.3",""
"Albania","2009","Both sexes","9.4",""
"Albania","2005","Male","7.3",""
"Albania","2005","Female","7.4",""
"Albania","2005","Both sexes","7.3",""
"Albania","2000","Male","12.9",""
"Albania","2000","Female","11.5",""
"Albania","2000","Both sexes","12.2",""
"Albania","1998","Both sexes","8.1",""
"Algeria","2005","Male","3.9",""
"Algeria","2005","Female","4.1",""
"Algeria","2005","Both sexes","4",""
"Algeria","2002","Male","10",""
"Algeria","2002","Female","9.3",""
"Algeria","2002","Both sexes","9.6",""
"Algeria","2000","Male","3.3",""
"Algeria","2000","Female","2.9",""
"Algeria","2000","Both sexes","3.1",""
"Algeria","1995","Male","9.7",""
"Algeria","1995","Female","9.4",""
"Algeria","1995","Both sexes","9.6",""
"Algeria","1992","Male","7",""
"Algeria","1992","Female","7.2",""
"Algeria","1992","Both sexes","7.1",""
"Algeria","1987","Both sexes","4",""
"Angola","2007","Male","8.2",""
"Angola","2007","Female","8.1",""
"Angola","2007","Both sexes","8.2",""
"Angola","1996","Male","8.3",""
"Angola","1996","Female","8.9",""
"Angola","1996","Both sexes","8.6",""
"Argentina","2005","Male","1.1",""
"Argentina","2005","Female","1.4",""
"Argentina","2005","Both sexes","1.2",""
"Argentina","1996","Both sexes","4.2",""
"Argentina","1994","Both sexes","1.6",""
"Armenia","2010","Male","4.9",""
"Armenia","2010","Female","3.3",""
"Armenia","2010","Both sexes","4.2",""
"Armenia","2005","Male","5.8",""
"Armenia","2005","Female","5.1",""
"Armenia","2005","Both sexes","5.5",""
"Armenia","2001","Male","2.6",""
"Armenia","2001","Female","2.5",""
"Armenia","2001","Both sexes","2.5",""
"Armenia","1998","Male","4.3",""
"Armenia","1998","Female","2.1",""
"Armenia","1998","Both sexes","3.3",""
"Australia","2007","Both sexes","0",""
"Australia","1996","Both sexes","0",""
"Azerbaijan","2006","Male","7.8",""
"Azerbaijan","2006","Female","5.7",""
"Azerbaijan","2006","Both sexes","6.8",""
"Azerbaijan","2001","Both sexes","3.2",""
"Azerbaijan","2000","Male","9.3",""
"Azerbaijan","2000","Female","8.6",""
"Azerbaijan","2000","Both sexes","9",""
"Azerbaijan","1996","Both sexes","3.8",""
"Bahrain","1995","Both sexes","6.6",""
"Bahrain","1989","Both sexes","6.8",""
"Bangladesh","2011","Male","16",""
"Bangladesh","2011","Female","15.3",""
"Bangladesh","2011","Both sexes","15.7",""
"Bangladesh","2007","Male","18.4",""
"Bangladesh","2007","Female","16.5",""
"Bangladesh","2007","Both sexes","17.5",""
"Bangladesh","2006","Male","13.4",""
"Bangladesh","2006","Female","11.3",""
"Bangladesh","2006","Both sexes","12.4",""
"Bangladesh","2005","Male","13.4",""
"Bangladesh","2005","Female","11.1",""
"Bangladesh","2005","Both sexes","12.3",""
"Bangladesh","2004","Male","13.6",""
"Bangladesh","2004","Female","12",""
"Bangladesh","2004","Both sexes","12.8",""
"Bangladesh","2004","Male","15.7",""
"Bangladesh","2004","Female","13.5",""
"Bangladesh","2004","Both sexes","14.6",""
"Bangladesh","2003","Male","14.2",""
"Bangladesh","2003","Female","11.7",""
"Bangladesh","2003","Both sexes","13",""
"Bangladesh","2002","Male","13.9",""
"Bangladesh","2002","Female","11.9",""
"Bangladesh","2002","Both sexes","12.9",""
"Bangladesh","2001","Male","14.5",""
"Bangladesh","2001","Female","11.6",""
"Bangladesh","2001","Both sexes","13.2",""
"Bangladesh","2000","Male","13.3",""
"Bangladesh","2000","Female","11.6",""
"Bangladesh","2000","Both sexes","12.5",""
"Bangladesh","2000","Male","16.4",""
"Bangladesh","2000","Female","13.4",""
"Bangladesh","2000","Both sexes","15",""
"Bangladesh","1999","Male","16.2",""
"Bangladesh","1999","Female","12.1",""
"Bangladesh","1999","Both sexes","14.2",""
"Bangladesh","1998","Male","17.2",""
"Bangladesh","1998","Female","13.8",""
"Bangladesh","1998","Both sexes","15.6",""
"Bangladesh","1997","Male","22",""
"Bangladesh","1997","Female","19.2",""
"Bangladesh","1997","Both sexes","20.6",""
"Bangladesh","1996","Male","17.6",""
"Bangladesh","1996","Female","14.5",""
"Bangladesh","1996","Both sexes","16.1",""
"Bangladesh","1996","Both sexes","18.7",""
"Bangladesh","1995","Male","17.1",""
"Bangladesh","1995","Female","14.2",""
"Bangladesh","1995","Both sexes","15.7",""
"Bangladesh","1994","Male","19",""
"Bangladesh","1994","Female","15.7",""
"Bangladesh","1994","Both sexes","17.4",""
"Bangladesh","1993","Male","15.9",""
"Bangladesh","1993","Female","13.2",""
"Bangladesh","1993","Both sexes","14.6",""
"Bangladesh","1992","Both sexes","18.8",""
"Bangladesh","1992","Male","18.4",""
"Bangladesh","1992","Female","14.8",""
"Bangladesh","1992","Both sexes","16.7",""
"Bangladesh","1991","Male","17.6",""
"Bangladesh","1991","Female","13.9",""
"Bangladesh","1991","Both sexes","15.8",""
"Bangladesh","1990","Both sexes","17.5",""
"Bangladesh","1986","Both sexes","17.3",""
"Bangladesh","1983","Both sexes","17.4",""
"Barbados","1981","Male","4.1",""
"Barbados","1981","Female","3.7",""
"Barbados","1981","Both sexes","3.9",""
"Belarus","2005","Male","2.8",""
"Belarus","2005","Female","1.6",""
"Belarus","2005","Both sexes","2.2",""
"Belize","2011","Male","3.2",""
"Belize","2011","Female","3.4",""
"Belize","2011","Both sexes","3.3",""
"Belize","2006","Male","2.4",""
"Belize","2006","Female","1.4",""
"Belize","2006","Both sexes","1.9",""
"Benin","2006","Male","9",""
"Benin","2006","Female","7.8",""
"Benin","2006","Both sexes","8.4",""
"Benin","2001","Male","10.2",""
"Benin","2001","Female","7.8",""
"Benin","2001","Both sexes","9",""
"Benin","1996","Male","19.2",""
"Benin","1996","Female","15.9",""
"Benin","1996","Both sexes","17.5",""
"Bhutan","2010","Male","6.2",""
"Bhutan","2010","Female","5.5",""
"Bhutan","2010","Both sexes","5.9",""
"Bhutan","2008","Male","5.1",""
"Bhutan","2008","Female","4.4",""
"Bhutan","2008","Both sexes","4.7",""
"Bhutan","1999","Male","3.3",""
"Bhutan","1999","Female","1.8",""
"Bhutan","1999","Both sexes","2.5",""
"Bhutan","1988","Both sexes","5.2",""
"Bolivia (Plurinational State of)","2008","Male","2",""
"Bolivia (Plurinational State of)","2008","Female","0.8",""
"Bolivia (Plurinational State of)","2008","Both sexes","1.4",""
"Bolivia (Plurinational State of)","2004","Male","1.9",""
"Bolivia (Plurinational State of)","2004","Female","1.5",""
"Bolivia (Plurinational State of)","2004","Both sexes","1.7",""
"Bolivia (Plurinational State of)","1998","Male","1.8",""
"Bolivia (Plurinational State of)","1998","Female","1.5",""
"Bolivia (Plurinational State of)","1998","Both sexes","1.6",""
"Bolivia (Plurinational State of)","1994","Male","7.4",""
"Bolivia (Plurinational State of)","1994","Female","3",""
"Bolivia (Plurinational State of)","1994","Both sexes","5.3",""
"Bolivia (Plurinational State of)","1989","Male","2",""
"Bolivia (Plurinational State of)","1989","Female","2.4",""
"Bolivia (Plurinational State of)","1989","Both sexes","2.2",""
"Bolivia (Plurinational State of)","1981","Both sexes","1",""
"Bosnia and Herzegovina","2012","Male","2.3",""
"Bosnia and Herzegovina","2012","Female","2.4",""
"Bosnia and Herzegovina","2012","Both sexes","2.3",""
"Bosnia and Herzegovina","2006","Male","3.8",""
"Bosnia and Herzegovina","2006","Female","4.3",""
"Bosnia and Herzegovina","2006","Both sexes","4",""
"Bosnia and Herzegovina","2000","Male","8.3",""
"Bosnia and Herzegovina","2000","Female","6.3",""
"Bosnia and Herzegovina","2000","Both sexes","7.4",""
"Botswana","2008","Male","7.5",""
"Botswana","2008","Female","6.8",""
"Botswana","2008","Both sexes","7.2",""
"Botswana","2000","Male","6.6",""
"Botswana","2000","Female","5.3",""
"Botswana","2000","Both sexes","6",""
"Botswana","1996","Both sexes","13.2",""
"Brazil","2007","Male","1.8",""
"Brazil","2007","Female","1.4",""
"Brazil","2007","Both sexes","1.6",""
"Brazil","1996","Male","3",""
"Brazil","1996","Female","2.5",""
"Brazil","1996","Both sexes","2.8",""
"Bulgaria","2004","Male","3.4",""
"Bulgaria","2004","Female","3.1",""
"Bulgaria","2004","Both sexes","3.2",""
"Burkina Faso","2010","Male","16.5",""
"Burkina Faso","2010","Female","14.4",""
"Burkina Faso","2010","Both sexes","15.4",""
"Burkina Faso","2009","Male","11.9",""
"Burkina Faso","2009","Female","10.7",""
"Burkina Faso","2009","Both sexes","11.3",""
"Burkina Faso","2006","Male","26.2",""
"Burkina Faso","2006","Female","22.6",""
"Burkina Faso","2006","Both sexes","24.4",""
"Burkina Faso","2003","Male","21.8",""
"Burkina Faso","2003","Female","20.6",""
"Burkina Faso","2003","Both sexes","21.2",""
"Burkina Faso","1999","Male","17.2",""
"Burkina Faso","1999","Female","14.2",""
"Burkina Faso","1999","Both sexes","15.7",""
"Burkina Faso","1993","Male","15.6",""
"Burkina Faso","1993","Female","15.4",""
"Burkina Faso","1993","Both sexes","15.5",""
"Burundi","2011","Male","6.6",""
"Burundi","2011","Female","5.6",""
"Burundi","2011","Both sexes","6.1",""
"Burundi","2005","Both sexes","9",""
"Burundi","2000","Male","9.2",""
"Burundi","2000","Female","7.2",""
"Burundi","2000","Both sexes","8.2",""
"Burundi","1987","Male","8.6",""
"Burundi","1987","Female","7.1",""
"Burundi","1987","Both sexes","7.9",""
"Cabo Verde","1994","Both sexes","6.9",""
"Cabo Verde","1985","Both sexes","4.3",""
"Cabo Verde","1983","Both sexes","6",""
"Cambodia","2011","Male","11.2",""
"Cambodia","2011","Female","10.5",""
"Cambodia","2011","Both sexes","10.8",""
"Cambodia","2008","Male","9.7",""
"Cambodia","2008","Female","8",""
"Cambodia","2008","Both sexes","8.9",""
"Cambodia","2006","Male","8.3",""
"Cambodia","2006","Female","8.3",""
"Cambodia","2006","Both sexes","8.3",""
"Cambodia","2000","Male","18",""
"Cambodia","2000","Female","15.8",""
"Cambodia","2000","Both sexes","16.9",""
"Cambodia","1996","Male","15.5",""
"Cambodia","1996","Female","11.4",""
"Cambodia","1996","Both sexes","13.4",""
"Cameroon","2011","Male","6.6",""
"Cameroon","2011","Female","4.9",""
"Cameroon","2011","Both sexes","5.8",""
"Cameroon","2006","Male","8.2",""
"Cameroon","2006","Female","6.4",""
"Cameroon","2006","Both sexes","7.3",""
"Cameroon","2004","Male","5.8",""
"Cameroon","2004","Female","6.7",""
"Cameroon","2004","Both sexes","6.2",""
